Hz,dB(v_out)
1.00 Hz,0.08 dB
1.02 Hz,0.08 dB
1.05 Hz,0.09 dB
1.07 Hz,0.09 dB
1.10 Hz,0.10 dB
1.12 Hz,0.10 dB
1.15 Hz,0.11 dB
1.17 Hz,0.11 dB
1.20 Hz,0.12 dB
1.23 Hz,0.12 dB
1.26 Hz,0.13 dB
1.29 Hz,0.13 dB
1.32 Hz,0.14 dB
1.35 Hz,0.15 dB
1.38 Hz,0.15 dB
1.41 Hz,0.16 dB
1.45 Hz,0.17 dB
1.48 Hz,0.18 dB
1.51 Hz,0.19 dB
1.55 Hz,0.20 dB
1.58 Hz,0.20 dB
1.62 Hz,0.21 dB
1.66 Hz,0.22 dB
1.70 Hz,0.24 dB
1.74 Hz,0.25 dB
1.78 Hz,0.26 dB
1.82 Hz,0.27 dB
1.86 Hz,0.28 dB
1.91 Hz,0.30 dB
1.95 Hz,0.31 dB
2.00 Hz,0.33 dB
2.04 Hz,0.34 dB
2.09 Hz,0.36 dB
2.14 Hz,0.38 dB
2.19 Hz,0.39 dB
2.24 Hz,0.41 dB
2.29 Hz,0.43 dB
2.34 Hz,0.45 dB
2.40 Hz,0.48 dB
2.45 Hz,0.50 dB
2.51 Hz,0.52 dB
2.57 Hz,0.55 dB
2.63 Hz,0.58 dB
2.69 Hz,0.60 dB
2.75 Hz,0.63 dB
2.82 Hz,0.66 dB
2.88 Hz,0.70 dB
2.95 Hz,0.73 dB
3.02 Hz,0.77 dB
3.09 Hz,0.81 dB
3.16 Hz,0.85 dB
3.24 Hz,0.89 dB
3.31 Hz,0.93 dB
3.39 Hz,0.98 dB
3.47 Hz,1.03 dB
3.55 Hz,1.08 dB
3.63 Hz,1.13 dB
3.72 Hz,1.19 dB
3.80 Hz,1.25 dB
3.89 Hz,1.31 dB
3.98 Hz,1.38 dB
4.07 Hz,1.45 dB
4.17 Hz,1.53 dB
4.27 Hz,1.61 dB
4.37 Hz,1.69 dB
4.47 Hz,1.78 dB
4.57 Hz,1.87 dB
4.68 Hz,1.97 dB
4.79 Hz,2.08 dB
4.90 Hz,2.19 dB
5.01 Hz,2.30 dB
5.13 Hz,2.43 dB
5.25 Hz,2.56 dB
5.37 Hz,2.70 dB
5.50 Hz,2.86 dB
5.62 Hz,3.02 dB
5.75 Hz,3.19 dB
5.89 Hz,3.37 dB
6.03 Hz,3.57 dB
6.17 Hz,3.78 dB
6.31 Hz,4.00 dB
6.46 Hz,4.25 dB
6.61 Hz,4.51 dB
6.76 Hz,4.79 dB
6.92 Hz,5.10 dB
7.08 Hz,5.43 dB
7.24 Hz,5.80 dB
7.41 Hz,6.19 dB
7.59 Hz,6.63 dB
7.76 Hz,7.11 dB
7.94 Hz,7.65 dB
8.13 Hz,8.24 dB
8.32 Hz,8.92 dB
8.51 Hz,9.68 dB
8.71 Hz,10.57 dB
8.91 Hz,11.60 dB
9.12 Hz,12.83 dB
9.33 Hz,14.34 dB
9.55 Hz,16.26 dB
9.77 Hz,18.86 dB
10.00 Hz,22.82 dB
10.23 Hz,30.89 dB
10.47 Hz,35.26 dB
10.72 Hz,23.72 dB
10.96 Hz,18.76 dB
11.22 Hz,15.50 dB
11.48 Hz,13.03 dB
11.75 Hz,11.04 dB
12.02 Hz,9.35 dB
12.30 Hz,7.87 dB
12.59 Hz,6.55 dB
12.88 Hz,5.36 dB
13.18 Hz,4.26 dB
13.49 Hz,3.25 dB
13.80 Hz,2.30 dB
14.13 Hz,1.40 dB
14.45 Hz,0.55 dB
14.79 Hz,-0.25 dB
15.14 Hz,-1.03 dB
15.49 Hz,-1.77 dB
15.85 Hz,-2.48 dB
16.22 Hz,-3.17 dB
16.60 Hz,-3.84 dB
16.98 Hz,-4.48 dB
17.38 Hz,-5.11 dB
17.78 Hz,-5.73 dB
18.20 Hz,-6.33 dB
18.62 Hz,-6.91 dB
19.05 Hz,-7.49 dB
19.50 Hz,-8.05 dB
19.95 Hz,-8.61 dB
20.42 Hz,-9.15 dB
20.89 Hz,-9.69 dB
21.38 Hz,-10.21 dB
21.88 Hz,-10.73 dB
22.39 Hz,-11.25 dB
22.91 Hz,-11.75 dB
23.44 Hz,-12.25 dB
23.99 Hz,-12.75 dB
24.55 Hz,-13.24 dB
25.12 Hz,-13.72 dB
25.70 Hz,-14.20 dB
26.30 Hz,-14.68 dB
26.92 Hz,-15.15 dB
27.54 Hz,-15.62 dB
28.18 Hz,-16.08 dB
28.84 Hz,-16.54 dB
29.51 Hz,-17.00 dB
30.20 Hz,-17.46 dB
30.90 Hz,-17.91 dB
31.62 Hz,-18.36 dB
32.36 Hz,-18.81 dB
33.11 Hz,-19.25 dB
33.88 Hz,-19.69 dB
34.67 Hz,-20.13 dB
35.48 Hz,-20.57 dB
36.31 Hz,-21.01 dB
37.15 Hz,-21.44 dB
38.02 Hz,-21.88 dB
38.90 Hz,-22.31 dB
39.81 Hz,-22.74 dB
40.74 Hz,-23.17 dB
41.69 Hz,-23.59 dB
42.66 Hz,-24.02 dB
43.65 Hz,-24.44 dB
44.67 Hz,-24.87 dB
45.71 Hz,-25.29 dB
46.77 Hz,-25.71 dB
47.86 Hz,-26.13 dB
48.98 Hz,-26.55 dB
50.12 Hz,-26.97 dB
51.29 Hz,-27.39 dB
52.48 Hz,-27.80 dB
53.70 Hz,-28.22 dB
54.95 Hz,-28.63 dB
56.23 Hz,-29.05 dB
57.54 Hz,-29.46 dB
58.88 Hz,-29.87 dB
60.26 Hz,-30.29 dB
61.66 Hz,-30.70 dB
63.10 Hz,-31.11 dB
64.57 Hz,-31.52 dB
66.07 Hz,-31.93 dB
67.61 Hz,-32.34 dB
69.18 Hz,-32.75 dB
70.79 Hz,-33.16 dB
72.44 Hz,-33.57 dB
74.13 Hz,-33.98 dB
75.86 Hz,-34.38 dB
77.62 Hz,-34.79 dB
79.43 Hz,-35.20 dB
81.28 Hz,-35.61 dB
83.18 Hz,-36.01 dB
85.11 Hz,-36.42 dB
87.10 Hz,-36.82 dB
89.13 Hz,-37.23 dB
91.20 Hz,-37.64 dB
93.33 Hz,-38.04 dB
95.50 Hz,-38.45 dB
97.72 Hz,-38.85 dB
100.00 Hz,-39.25 dB
102.33 Hz,-39.66 dB
104.71 Hz,-40.06 dB
107.15 Hz,-40.47 dB
109.65 Hz,-40.87 dB
112.20 Hz,-41.27 dB
114.82 Hz,-41.68 dB
117.49 Hz,-42.08 dB
120.23 Hz,-42.48 dB
123.03 Hz,-42.89 dB
125.89 Hz,-43.29 dB
128.82 Hz,-43.69 dB
131.83 Hz,-44.09 dB
134.90 Hz,-44.50 dB
138.04 Hz,-44.90 dB
141.25 Hz,-45.30 dB
144.54 Hz,-45.70 dB
147.91 Hz,-46.11 dB
151.36 Hz,-46.51 dB
154.88 Hz,-46.91 dB
158.49 Hz,-47.31 dB
162.18 Hz,-47.71 dB
165.96 Hz,-48.11 dB
169.82 Hz,-48.52 dB
173.78 Hz,-48.92 dB
177.83 Hz,-49.32 dB
181.97 Hz,-49.72 dB
186.21 Hz,-50.12 dB
190.55 Hz,-50.52 dB
194.98 Hz,-50.92 dB
199.53 Hz,-51.33 dB
204.17 Hz,-51.73 dB
208.93 Hz,-52.13 dB
213.80 Hz,-52.53 dB
218.78 Hz,-52.93 dB
223.87 Hz,-53.33 dB
229.09 Hz,-53.73 dB
234.42 Hz,-54.13 dB
239.88 Hz,-54.53 dB
245.47 Hz,-54.93 dB
251.19 Hz,-55.33 dB
257.04 Hz,-55.73 dB
263.03 Hz,-56.14 dB
269.15 Hz,-56.54 dB
275.42 Hz,-56.94 dB
281.84 Hz,-57.34 dB
288.40 Hz,-57.74 dB
295.12 Hz,-58.14 dB
302.00 Hz,-58.54 dB
309.03 Hz,-58.94 dB
316.23 Hz,-59.34 dB
323.59 Hz,-59.74 dB
331.13 Hz,-60.14 dB
338.84 Hz,-60.54 dB
346.74 Hz,-60.94 dB
354.81 Hz,-61.34 dB
363.08 Hz,-61.74 dB
371.54 Hz,-62.14 dB
380.19 Hz,-62.54 dB
389.05 Hz,-62.94 dB
398.11 Hz,-63.34 dB
407.38 Hz,-63.74 dB
416.87 Hz,-64.14 dB
426.58 Hz,-64.54 dB
436.52 Hz,-64.94 dB
446.68 Hz,-65.34 dB
457.09 Hz,-65.74 dB
467.74 Hz,-66.14 dB
478.63 Hz,-66.54 dB
489.78 Hz,-66.94 dB
501.19 Hz,-67.34 dB
512.86 Hz,-67.74 dB
524.81 Hz,-68.15 dB
537.03 Hz,-68.55 dB
549.54 Hz,-68.95 dB
562.34 Hz,-69.35 dB
575.44 Hz,-69.75 dB
588.84 Hz,-70.15 dB
602.56 Hz,-70.55 dB
616.60 Hz,-70.95 dB
630.96 Hz,-71.35 dB
645.65 Hz,-71.75 dB
660.69 Hz,-72.15 dB
676.08 Hz,-72.55 dB
691.83 Hz,-72.95 dB
707.95 Hz,-73.35 dB
724.44 Hz,-73.75 dB
741.31 Hz,-74.15 dB
758.58 Hz,-74.55 dB
776.25 Hz,-74.95 dB
794.33 Hz,-75.35 dB
812.83 Hz,-75.75 dB
831.76 Hz,-76.15 dB
851.14 Hz,-76.55 dB
870.96 Hz,-76.95 dB
891.25 Hz,-77.35 dB
912.01 Hz,-77.75 dB
933.25 Hz,-78.15 dB
954.99 Hz,-78.55 dB
977.24 Hz,-78.95 dB
"1,000.00 Hz",-79.35 dB
"1,023.29 Hz",-79.75 dB
"1,047.13 Hz",-80.15 dB
"1,071.52 Hz",-80.55 dB
"1,096.48 Hz",-80.95 dB
"1,122.02 Hz",-81.35 dB
"1,148.15 Hz",-81.75 dB
"1,174.90 Hz",-82.15 dB
"1,202.26 Hz",-82.55 dB
"1,230.27 Hz",-82.95 dB
"1,258.93 Hz",-83.35 dB
"1,288.25 Hz",-83.75 dB
"1,318.26 Hz",-84.15 dB
"1,348.96 Hz",-84.55 dB
"1,380.38 Hz",-84.95 dB
"1,412.54 Hz",-85.35 dB
"1,445.44 Hz",-85.75 dB
"1,479.11 Hz",-86.15 dB
"1,513.56 Hz",-86.55 dB
"1,548.82 Hz",-86.95 dB
"1,584.89 Hz",-87.35 dB
"1,621.81 Hz",-87.75 dB
"1,659.59 Hz",-88.15 dB
"1,698.24 Hz",-88.55 dB
"1,737.80 Hz",-88.95 dB
"1,778.28 Hz",-89.35 dB
"1,819.70 Hz",-89.75 dB
"1,862.09 Hz",-90.15 dB
"1,905.46 Hz",-90.55 dB
"1,949.84 Hz",-90.95 dB
"1,995.26 Hz",-91.35 dB
"2,041.74 Hz",-91.75 dB
"2,089.30 Hz",-92.15 dB
"2,137.96 Hz",-92.55 dB
"2,187.76 Hz",-92.95 dB
"2,238.72 Hz",-93.35 dB
"2,290.87 Hz",-93.75 dB
"2,344.23 Hz",-94.15 dB
"2,398.83 Hz",-94.55 dB
"2,454.71 Hz",-94.95 dB
"2,511.89 Hz",-95.35 dB
"2,570.40 Hz",-95.75 dB
"2,630.27 Hz",-96.15 dB
"2,691.53 Hz",-96.55 dB
"2,754.23 Hz",-96.95 dB
"2,818.38 Hz",-97.35 dB
"2,884.03 Hz",-97.75 dB
"2,951.21 Hz",-98.15 dB
"3,019.95 Hz",-98.55 dB
"3,090.30 Hz",-98.95 dB
"3,162.28 Hz",-99.35 dB
"3,235.94 Hz",-99.75 dB
"3,311.31 Hz",-100.15 dB
"3,388.44 Hz",-100.55 dB
"3,467.37 Hz",-100.95 dB
"3,548.13 Hz",-101.35 dB
"3,630.78 Hz",-101.75 dB
"3,715.35 Hz",-102.15 dB
"3,801.89 Hz",-102.55 dB
"3,890.45 Hz",-102.95 dB
"3,981.07 Hz",-103.35 dB
"4,073.80 Hz",-103.75 dB
"4,168.69 Hz",-104.15 dB
"4,265.80 Hz",-104.55 dB
"4,365.16 Hz",-104.95 dB
"4,466.84 Hz",-105.35 dB
"4,570.88 Hz",-105.75 dB
"4,677.35 Hz",-106.15 dB
"4,786.30 Hz",-106.55 dB
"4,897.79 Hz",-106.95 dB
"5,011.87 Hz",-107.35 dB
"5,128.61 Hz",-107.75 dB
"5,248.07 Hz",-108.15 dB
"5,370.32 Hz",-108.55 dB
"5,495.41 Hz",-108.95 dB
"5,623.41 Hz",-109.35 dB
"5,754.40 Hz",-109.75 dB
"5,888.44 Hz",-110.15 dB
"6,025.60 Hz",-110.55 dB
"6,165.95 Hz",-110.95 dB
"6,309.57 Hz",-111.35 dB
"6,456.54 Hz",-111.75 dB
"6,606.93 Hz",-112.15 dB
"6,760.83 Hz",-112.55 dB
"6,918.31 Hz",-112.95 dB
"7,079.46 Hz",-113.35 dB
"7,244.36 Hz",-113.75 dB
"7,413.10 Hz",-114.15 dB
"7,585.78 Hz",-114.55 dB
"7,762.47 Hz",-114.95 dB
"7,943.28 Hz",-115.35 dB
"8,128.31 Hz",-115.75 dB
"8,317.64 Hz",-116.15 dB
"8,511.38 Hz",-116.55 dB
"8,709.64 Hz",-116.95 dB
"8,912.51 Hz",-117.35 dB
"9,120.11 Hz",-117.75 dB
"9,332.54 Hz",-118.15 dB
"9,549.93 Hz",-118.55 dB
"9,772.37 Hz",-118.95 dB
"10,000.00 Hz",-119.35 dB
"10,232.93 Hz",-119.75 dB
"10,471.29 Hz",-120.15 dB
"10,715.19 Hz",-120.55 dB
"10,964.78 Hz",-120.95 dB
"11,220.18 Hz",-121.35 dB
"11,481.54 Hz",-121.75 dB
"11,748.98 Hz",-122.15 dB
"12,022.64 Hz",-122.55 dB
"12,302.69 Hz",-122.95 dB
"12,589.25 Hz",-123.35 dB
"12,882.50 Hz",-123.75 dB
"13,182.57 Hz",-124.15 dB
"13,489.63 Hz",-124.55 dB
"13,803.84 Hz",-124.95 dB
"14,125.38 Hz",-125.35 dB
"14,454.40 Hz",-125.75 dB
"14,791.08 Hz",-126.15 dB
"15,135.61 Hz",-126.55 dB
"15,488.17 Hz",-126.95 dB
"15,848.93 Hz",-127.35 dB
"16,218.10 Hz",-127.75 dB
"16,595.87 Hz",-128.15 dB
"16,982.44 Hz",-128.55 dB
"17,378.01 Hz",-128.95 dB
"17,782.79 Hz",-129.35 dB
"18,197.01 Hz",-129.75 dB
"18,620.87 Hz",-130.15 dB
"19,054.61 Hz",-130.55 dB
"19,498.45 Hz",-130.95 dB
"19,952.62 Hz",-131.35 dB
"20,417.38 Hz",-131.75 dB
"20,892.96 Hz",-132.15 dB
"21,379.62 Hz",-132.55 dB
"21,877.62 Hz",-132.95 dB
"22,387.21 Hz",-133.35 dB
"22,908.68 Hz",-133.75 dB
"23,442.29 Hz",-134.15 dB
"23,988.33 Hz",-134.55 dB
"24,547.09 Hz",-134.95 dB
"25,118.87 Hz",-135.35 dB
"25,703.96 Hz",-135.75 dB
"26,302.68 Hz",-136.15 dB
"26,915.35 Hz",-136.55 dB
"27,542.29 Hz",-136.95 dB
"28,183.83 Hz",-137.35 dB
"28,840.31 Hz",-137.75 dB
"29,512.09 Hz",-138.15 dB
"30,199.52 Hz",-138.55 dB
"30,902.96 Hz",-138.95 dB
"31,622.78 Hz",-139.35 dB
"32,359.37 Hz",-139.75 dB
"33,113.11 Hz",-140.15 dB
"33,884.41 Hz",-140.55 dB
"34,673.68 Hz",-140.95 dB
"35,481.34 Hz",-141.35 dB
"36,307.80 Hz",-141.75 dB
"37,153.52 Hz",-142.15 dB
"38,018.94 Hz",-142.55 dB
"38,904.52 Hz",-142.95 dB
"39,810.72 Hz",-143.35 dB
"40,738.03 Hz",-143.75 dB
"41,686.94 Hz",-144.15 dB
"42,657.95 Hz",-144.55 dB
"43,651.58 Hz",-144.95 dB
"44,668.36 Hz",-145.35 dB
"45,708.82 Hz",-145.75 dB
"46,773.52 Hz",-146.15 dB
"47,863.01 Hz",-146.55 dB
"48,977.88 Hz",-146.95 dB
"50,118.72 Hz",-147.35 dB
"51,286.14 Hz",-147.75 dB
"52,480.75 Hz",-148.15 dB
"53,703.18 Hz",-148.55 dB
"54,954.09 Hz",-148.95 dB
"56,234.13 Hz",-149.35 dB
"57,543.99 Hz",-149.75 dB
"58,884.37 Hz",-150.15 dB
"60,255.96 Hz",-150.55 dB
"61,659.50 Hz",-150.95 dB
"63,095.73 Hz",-151.35 dB
"64,565.42 Hz",-151.75 dB
"66,069.34 Hz",-152.15 dB
"67,608.30 Hz",-152.55 dB
"69,183.09 Hz",-152.95 dB
"70,794.58 Hz",-153.35 dB
"72,443.59 Hz",-153.75 dB
"74,131.02 Hz",-154.15 dB
"75,857.76 Hz",-154.55 dB
"77,624.71 Hz",-154.95 dB
"79,432.82 Hz",-155.35 dB
"81,283.05 Hz",-155.75 dB
"83,176.38 Hz",-156.15 dB
"85,113.80 Hz",-156.55 dB
"87,096.36 Hz",-156.95 dB
"89,125.09 Hz",-157.35 dB
"91,201.09 Hz",-157.75 dB
"93,325.43 Hz",-158.15 dB
"95,499.26 Hz",-158.55 dB
"97,723.72 Hz",-158.95 dB
"100,000.00 Hz",-159.35 dB
